Daily_Demand_Units,Lead_Time_Days
46,5
43,5
47,6
36,1
54,5
47,2
65,5
56,3
51,4
41,4
48,3
64,4
62,3
47,4
44,5
48,3
47,6
59,6
55,3
50,5
52,2
52,3
54,4
56,6
47,6
69,3
39,3
52,4
57,5
35,5
42,7
69,2
37,3
47,6
48,5
36,4
34,3
43,5
76,5
49,4
57,5
59,3
50,2
70,5
43,6
80,4
55,6
24,5
47,6
58,4
64,3
46,3
43,7
60,5
70,5
70,3
30,3
50,4
30,6
47,3
63,5
77,3
42,1
30,3
56,5
33,4
50,5
48,7
45,1
28,2
64,4
44,5
53,3
42,4
22,5
32,3
56,3
16,3
59,5
44,7
26,2
61,4
51,4
41,5
58,1
33,1
72,2
50,3
59,4
40,3
65,6
63,5
48,4
33,5
19,3
28,5
51,5
50,4
53,3
34,4
47,5
46,3
55,3
40,2
43,3
56,4
46,2
34,4
60,5
54,3
53,4
44,3
54,5
51,5
25,1
55,5
55,5
45,5
42,3
54,2
55,4
43,5
50,5
48,4
37,4
47,7
40,1
55,5
44,6
49,6
47,3
31,4
64,3
59,4
70,3
49,7
62,6
58,4
48,7
55,8
69,1
46,4
49,7
60,3
48,4
73,5
44,4
76,5
33,3
64,4
58,2
67,4
46,3
58,4
41,4
47,2
35,4
64,3
50,4
32,5
54,5
58,9
49,4
40,1
57,5
59,4
48,2
54,4
49,5
50,3
51,2
58,5
47,2
58,7
64,4
25,5
68,2
29,5
47,4
17,5
49,4
47,3
69,4
49,5
75,5
55,5
42,4
59,3
58,7
50,4
61,4
58,4
42,3
46,2
67,6
57,5
30,4
55,4
65,4
71,5
57,4
59,3
72,4
56,4
54,6
70,5
37,2
47,3
39,5
48,4
52,4
34,2
42,2
59,4
33,3
54,2
24,5
40,5
59,3
36,4
35,4
53,5
37,4
58,3
56,2
68,6
56,3
51,4
56,4
61,3
53,4
78,5
48,3
46,6
45,5
45,4
37,4
46,5
37,4
65,3
57,3
59,5
58,2
36,4
40,2
49,2
51,5
45,4
53,3
62,2
65,6
32,3
53,5
39,5
19,4
60,4
44,2
56,5
56,4
73,7
57,5
31,3
64,4
58,6
46,4
37,3
41,4
39,4
43,6
50,3
41,5
64,3
38,6
52,2
57,4
40,4
38,4
53,4
53,4
70,6
74,7
51,4
50,3
68,3
58,5
48,3
63,3
40,7
58,4
49,4
48,2
45,4
35,2
42,8
52,6
60,8
72,3
46,5
37,2
58,2
37,2
46,3
46,1
51,4
58,4
32,4
40,6
48,4
47,5
59,4
35,4
40,5
41,3
38,4
62,4
54,4
56,6
75,3
55,3
59,4
30,6
59,5
